No.,Time,Source,Destination,Protocol,Length,Info,,,Time 1,Time 2,,Delay 
449,19.388205,us-browser-notifications.opera.com,MargaGibran-PC,TCP,1354,https(443)  >  49326 [ACK] Seq=1301 Ack=183 Win=22560 Len=1300 [TCP segment of a reassembled PDU],,,,,,
450,19.388271,MargaGibran-PC,us-browser-notifications.opera.com,TCP,54,49326  >  https(443) [ACK] Seq=183 Ack=2601 Win=65792 Len=0,,,,,,
453,19.51462,MargaGibran-PC,i.ytimg.com,TCP,66,49331  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
455,19.766071,MargaGibran-PC,i.ytimg.com,TCP,66,49332  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
458,20.038221,us-browser-notifications.opera.com,MargaGibran-PC,TCP,1338,"https(443)  >  49326 [PSH, ACK] Seq=2601 Ack=183 Win=22560 Len=1284 [TCP segment of a reassembled PDU], Certificate Status, Server Key Exchange, Server Hello Done",,,,,,
460,20.062859,MargaGibran-PC,us-browser-notifications.opera.com,TLSv1.2,204,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",,,,,,
466,20.358219,MargaGibran-PC,us-browser-notifications.opera.com,TCP,204,"[TCP Retransmission] 49326  >  https(443) [PSH, ACK] Seq=183 Ack=3885 Win=64512 Len=150",,,,,,
479,20.95824,MargaGibran-PC,us-browser-notifications.opera.com,TCP,204,"[TCP Retransmission] 49326  >  https(443) [PSH, ACK] Seq=183 Ack=3885 Win=64512 Len=150",,,,,,
506,22.158278,MargaGibran-PC,us-browser-notifications.opera.com,TCP,204,"[TCP Retransmission] 49326  >  https(443) [PSH, ACK] Seq=183 Ack=3885 Win=64512 Len=150",,,,,,
517,22.514283,MargaGibran-PC,i.ytimg.com,TCP,66,[TCP Retransmission] 49331  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
521,22.758297,MargaGibran-PC,i.ytimg.com,TCP,66,[TCP Retransmission] 49332  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
528,23.358315,MargaGibran-PC,us-browser-notifications.opera.com,TCP,204,"[TCP Retransmission] 49326  >  https(443) [PSH, ACK] Seq=183 Ack=3885 Win=64512 Len=150",,,,,,
547,24.152389,us-browser-notifications.opera.com,MargaGibran-PC,TLSv1.2,1354,"[TCP Spurious Retransmission] , Server Hello",,,,,,
548,24.152431,MargaGibran-PC,us-browser-notifications.opera.com,TCP,66,[TCP Dup ACK 460#1] 49326  >  https(443) [ACK] Seq=333 Ack=3885 Win=64512 Len=0 SLE=1 SRE=1301,,,,,,
577,24.558362,MargaGibran-PC,us-browser-notifications.opera.com,TCP,204,"[TCP Retransmission] 49326  >  https(443) [PSH, ACK] Seq=183 Ack=3885 Win=64512 Len=150",,,,,,
578,24.56844,MargaGibran-PC,74.125.24.188,TCP,55,49316  >  hpvroom(5228) [ACK] Seq=1 Ack=1 Win=63064 Len=1,,,,,,
601,24.999237,MargaGibran-PC,r3.sn-uxa3vhnxa-jb3r.googlevideo.com,TCP,66,49333  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
602,24.999764,MargaGibran-PC,r3.sn-uxa3vhnxa-jb3r.googlevideo.com,TCP,66,49334  >  https(443) [SYN] Seq=0 Win=8192 Len=0 MSS=1460 WS=256 SACK_PERM=1,,,,,,
